본부명 ,위도,경도,소방서_이미지_주소,전화번호,소방서주소,소방장비총보유량
서울소방재난본부,37.55891937691529,126.98901035697418,https://buly.kr/ESyjhxK,02-3706-1319,서울특별시 중구 퇴계로26길 52,31
119특수구조대,37.63368309890531,126.91445373521518,https://buly.kr/5fCqfBq,02-3706-1914,서울특별시 은평구 통일로 1031-25,24	
관악소방서,37.47394275787235,126.95235494914392,https://buly.kr/6tc9Wur,02-6981-8274,서울특별시 관악구 관악로 97,40
서초소방서,37.498421415606686,126.99195243889407,https://buly.kr/BpFMzlj,02-6981-5900,서울특별시 서초구 사평대로 67,48
구로소방서,37.49779883534639,126.86518667385565,https://buly.kr/GP34h06,02-2615-0119,서울특별시 구로구 경인로 408,46
마포소방서,37.54938266606664,126.93318124306596,https://buly.kr/90bFUkl,02-701-3495,서울특별시 마포구 창전로 76,46
중랑소방서,37.61535506957566,127.09485538428244,https://buly.kr/H6i6cIH,02-6981-8884,서울특별시 중랑구 신내로 183,37
동대문소방서,37.56400716191844,127.06665926380674,https://buly.kr/CpMRzD,02-2212-0199,서울특별시 동대문구 장한로 34,42
강서소방서,37.55803065009281,126.860277886616,https://buly.kr/EdtUstP,02-6981-5074,서울특별시 강서구 양천로 550,48
은평소방서,37.6289128140661,126.91979002690216,https://buly.kr/jZdOTD,02-389-6119,서울특별시 은평구 통일로 962,41
송파소방서,37.49979898838703,127.14259199328696,https://buly.kr/4Fsn0nw,02-6981-5264,서울특별시 송파구 마천동 오금로51길 56,48
중부소방서,37.56486868523106,127.0153975260016,https://buly.kr/2fdyBTm,02-2253-0119,서울특별시 중구 퇴계로 394,41
성북소방서,37.60243595855378,127.03175544581484,https://buly.kr/2JoSDrO,02-6981-7278,서울특별시 성북구 종암로27길 3,37
서대문소방서,37.57326379305454,126.93590337976724,https://buly.kr/3u3H3Dv,02-6981-5510,서울특별시 서대문구 연희로 182,36
용산소방서,37.53407956997007,126.9715283596502,https://buly.kr/881SapS,02-6943-1476,서울특별시 용산구 한강대로 167,39
동작소방서,37.494624192044654,126.917677783596,https://buly.kr/DPUC1JX,02-847-1190,서울특별시 동작구 여의대방로16길 55,38
양천소방서,37.53016108023125,126.87225841263002,https://buly.kr/jZdOcM,02-2643-4119,서울특별시 양천구 목1동 919-6,44
성동소방서,37.55366493087618,127.03950980961186,https://buly.kr/C0A8B4d,02-2622-1777,서울특별시 성동구 살곶이길 331,36
광진소방서,37.544832277208734,127.08275102440388,https://buly.kr/DlJhzFC,02-454-0119,서울특별시 광진구 광나루로 480,36
강북소방서,37.63304506059517,127.0382032225783,https://buly.kr/58SZvvk,02-6946-0202,서울특별시 강북구 한천로 911,39
종로소방서,37.5728625217725,126.97890593968408,https://buly.kr/2qYjBLG,02-730-0119,서울특별시 종로구 율곡로 78,46
영등포소방서,37.51849012974609,126.90415375137758,https://buly.kr/58SZvxf,02-2679-0120,서울특별시 영등포구 문래로 197,43
강남소방서,37.51028613077841,127.06678384111112,https://buly.kr/DPUC2JX,02-6981-7475,서울특별시 강남구 테헤란로 629,54
강동소방서,37.52927324600663,127.12493914857316,https://buly.kr/1c9QJfC,02-6981-7710,서울특별시 강동구 성내로 39,47
노원소방서,37.63811712854928,127.07113692481828,https://buly.kr/CWuP8GN,02-6981-6873,서울특별시 노원구 한글비석로1길 8,41
도봉소방서,37.6640387418431,127.04303903127342,https://buly.kr/9tB2Q2a,02-6981-8000,서울특별시 도봉구 도봉로 666,38
금천소방서,37.464751,126.897975,https://buly.kr/FhO2myU,02-6981-6479,서울특별시 금천구 시흥대로 342,29

